[2026-05-03 18:51:39 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "政策保有株式" has been purged, triggered by action: save_post 
[2026-05-03 18:53:04 : INFO] - Cache for URL: http://192.168.11.3/ir/governance/talk/ has been purged, triggered by action: save_post 
[2026-05-03 18:53:04 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・投資家との対話" has been purged, triggered by action: save_post 
[2026-05-03 18:53:40 : INFO] - Cache for URL: http://192.168.11.3/ir/faq/ has been purged, triggered by action: save_post 
[2026-05-03 18:53:40 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "よくあるご質問" has been purged, triggered by action: save_post 
[2026-05-03 18:54:19 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-03 18:54:19 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
[2026-05-03 18:54:32 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-03 18:54:32 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
[2026-05-03 18:55:21 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-03 18:55:21 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
[2026-05-04 06:03:54 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-04 06:03:54 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
[2026-05-04 06:04:00 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-04 06:04:00 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
[2026-05-04 06:05:15 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-04 06:05:15 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
